#########################################################
####AHURATUS MEM ALLOCATOR#########WEEK08################
####EHSAN SHAGHAEI#################OS-FALL2020###########
#########################################################
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
>> MEM ALLOCATOR: 10MB were allocated!
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 5551396  17964 455404    0    0     5   140   19   91  0  0 99  0  0
 0  0      0 5546796  17964 455424    0    0     0     0   28  226  0  1 99  0  0
 0  0      0 5546796  17964 455424    0    0     0     0   16  172  0  0 100  0  0
 0  0      0 5546796  17964 455424    0    0     0     0    9  136  0  0 100  0  0
 0  0      0 5546796  17964 455424    0    0     0     0   24  229  0  0 100  0  0
 0  0      0 5546796  17964 455424    0    0     0     0    2  137  0  0 100  0  0
 0  0      0 5546796  17964 455424    0    0     0     0   25  212  0  0 100  0  0
 0  0      0 5546796  17964 455424    0    0     0     0   15  156  0  0 100  0  0
 0  0      0 5546796  17964 455424    0    0     0     0   19  185  0  0 100  0  0
 0  0      0 5546796  17964 455424    0    0     0     0   58  347  0  0 99  0  0
 1  0      0 5545268  17964 455424    0    0     0     0   19  188  0  0 100  0  0
 0  0      0 5536604  17964 455424    0    0     0     0    7  138  0  1 99  0  0
 0  0      0 5535396  17964 455424    0    0     0     0  310 1551  1  4 96  0  0
 0  0      0 5535404  17964 455424    0    0     0     0    7  132  0  0 100  0  0
 0  0      0 5535404  17964 455424    0    0     0     0   27  235  0  0 99  0  0
 0  0      0 5535404  17964 455424    0    0     0     0    6  128  0  0 100  0  0
 0  0      0 5535404  17964 455424    0    0     0     0   71  384  0  0 99  0  0
 0  0      0 5535404  17964 455424    0    0     0     0   17  171  0  0 100  0  0
 0  0      0 5535404  17972 455416    0    0     0    12   21  198  0  0 100  0  0
 0  0      0 5535404  17972 455424    0    0     0     0   14  162  0  0 100  0  0
 0  0      0 5534648  17972 455424    0    0     0     0  372 1646  0  3 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5525448  17972 455424    0    0     0     0  138  719  0  0 99  0  0
 0  0      0 5525168  17972 455416    0    0     0     0  288 1216  0  3 97  0  0
 0  0      0 5525196  17972 455424    0    0     0     0   17  135  0  0 100  0  0
 0  0      0 5524944  17972 455424    0    0     0     0   17  170  0  0 100  0  0
 0  0      0 5525700  17980 455424    0    0     0    16  368 1560  1  1 98  0  0
 0  0      0 5525700  17980 455428    0    0     0     0  226 1100  0  1 99  0  0
 0  0      0 5525448  17980 455428    0    0     0     0  164  851  0  0 100  0  0
 0  0      0 5525196  17980 455428    0    0     0     0   49  299  0  0 99  0  0
 1  0      0 5525196  17980 455428    0    0     0     0   29  223  0  0 100  0  0
 0  0      0 5524944  17980 455428    0    0     0     0  418 2166  0  2 98  0  0
 0  0      0 5515576  17988 455420    0    0     0    16  282 1181  0  2 97  0  0
 0  0      0 5515744  17988 455428    0    0     0     0   21  182  0  0 100  0  0
 0  0      0 5515492  17988 455428    0    0     0     0   23  214  0  0 100  0  0
 0  0      0 5515492  17988 455428    0    0     0     0   25  179  0  0 100  0  0
 0  0      0 5515492  17988 455428    0    0     0     0   19  187  0  0 100  0  0
 0  0      0 5515492  17988 455428    0    0     0     0    7  124  0  0 100  0  0
 0  0      0 5515492  17988 455428    0    0     0     0   26  219  0  0 100  0  0
 0  0      0 5515492  17988 455428    0    0     0     0   12  139  0  0 100  0  0
 0  0      0 5515492  17996 455420    0    0     0    12   40  263  0  0 100  0  0
 0  0      0 5515240  17996 455428    0    0     0     0   29  169  1  0 99  0  0
 0  0      0 5505536  17996 455428    0    0     0     0   23  183  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5505536  17996 455428    0    0     0     8   17  144  0  0 100  0  0
 0  0      0 5505536  17996 455428    0    0     0     0    6  112  0  0 100  0  0
 0  0      0 5505536  17996 455428    0    0     0     0   26  209  0  0 100  0  0
 0  0      0 5505536  17996 455428    0    0     0     0    6  111  0  0 100  0  0
 0  0      0 5505536  17996 455428    0    0     0     0   20  172  0  0 100  0  0
 0  0      0 5505536  17996 455428    0    0     0     0   15  159  0  0 100  0  0
 0  0      0 5505536  18004 455420    0    0     0    20   22  196  0  0 100  0  0
 0  0      0 5505536  18004 455428    0    0     0     0   15  149  0  0 100  0  0
 0  0      0 5505536  18004 455428    0    0     0     0   21  160  0  0 100  0  0
 0  0      0 5495832  18004 455428    0    0     0     0   11  120  0  1 99  0  0
 0  0      0 5495832  18004 455428    0    0     0     0   29  197  0  0 100  0  0
 0  0      0 5495832  18004 455428    0    0     0    16    8  114  0  0 100  0  0
 0  0      0 5495832  18004 455428    0    0     0     0   26  198  0  0 100  0  0
 0  0      0 5495832  18004 455428    0    0     0     0    7  107  0  0 100  0  0
 1  0      0 5495832  18004 455428    0    0     0     0   20  175  0  0 100  0  0
 0  0      0 5495832  18004 455428    0    0     0     0   16  139  0  0 100  0  0
 0  0      0 5495832  18004 455428    0    0     0     0   18  168  0  0 100  0  0
 0  0      0 5495832  18004 455428    0    0     0     0   15  135  0  0 100  0  0
 0  0      0 5495832  18004 455428    0    0     0     0   18  168  0  0 100  0  0
 0  0      0 5485908  18004 455428    0    0     0     0   15  133  0  1 99  0  0
 0  0      0 5485908  18004 455428    0    0     0     0   17  139  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5485908  18004 455428    0    0     0     0   20  174  0  0 100  0  0
 0  0      0 5485908  18004 455428    0    0     0     0   15  141  0  0 100  0  0
 0  0      0 5485908  18004 455428    0    0     0     0   20  176  0  0 100  0  0
 0  0      0 5485908  18004 455428    0    0     0     0   11  115  0  0 100  0  0
 0  0      0 5485908  18004 455428    0    0     0     0   26  200  0  0 100  0  0
 0  0      0 5485908  18004 455428    0    0     0     0    8   99  0  0 100  0  0
 0  0      0 5485908  18004 455428    0    0     0     0   27  207  0  0 100  0  0
 0  0      0 5485908  18004 455428    0    0     0     0    9  119  0  0 100  0  0
 0  0      0 5475028  18004 455428    0    0     0     0   26  200  0  1 99  0  0
 0  0      0 5475148  18004 455428    0    0     0     0   17  136  0  0 100  0  0
 0  0      0 5475148  18004 455428    0    0     0     0   21  167  0  0 100  0  0
 0  0      0 5475148  18004 455428    0    0     0     0   15  141  0  0 100  0  0
 0  0      0 5475148  18004 455428    0    0     0     0   20  168  0  0 100  0  0
 0  0      0 5475148  18004 455428    0    0     0     0    9  112  0  0 100  0  0
 0  0      0 5475148  18004 455428    0    0     0     0   25  196  0  0 100  0  0
 0  0      0 5475148  18004 455428    0    0     0     0    9  103  0  0 100  0  0
 0  0      0 5475148  18004 455428    0    0     0     0   27  206  0  0 100  0  0
 1  0      0 5475148  18004 455428    0    0     0     0    8  117  0  0 100  0  0
 0  0      0 5465444  18004 455428    0    0     0     0   25  205  0  1 100  0  0
 0  0      0 5465444  18004 455428    0    0     0     0   15  139  0  0 99  0  0
 0  0      0 5465444  18004 455428    0    0     0     0    9  123  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5465444  18004 455428    0    0     0     0   31  224  0  0 100  0  0
 0  0      0 5465444  18004 455428    0    0     0     0    8  117  0  0 100  0  0
 0  0      0 5465444  18004 455428    0    0     0     0   21  189  0  0 100  0  0
 0  0      0 5465444  18004 455428    0    0     0     0   16  145  0  0 100  0  0
 0  0      0 5465444  18004 455428    0    0     0     0   20  174  0  0 100  0  0
 0  0      0 5465444  18004 455428    0    0     0     0   17  149  0  0 100  0  0
 0  0      0 5465444  18004 455428    0    0     0     0   22  169  0  0 100  0  0
 0  0      0 5455488  18004 455428    0    0     0     0   14  132  0  0 99  0  0
 0  0      0 5455488  18004 455428    0    0     0     0   26  208  0  0 100  0  0
 0  0      0 5455488  18004 455428    0    0     0     0   10  105  0  0 100  0  0
 0  0      0 5455488  18004 455428    0    0     0     0   30  208  0  0 100  0  0
 0  0      0 5455488  18004 455428    0    0     0     0    9  107  0  0 100  0  0
 0  0      0 5455488  18004 455428    0    0     0     0   23  195  0  0 100  0  0
 0  0      0 5455488  18004 455428    0    0     0     0   15  161  0  0 100  0  0
 0  0      0 5455488  18004 455428    0    0     0     0   19  183  0  0 100  0  0
 0  0      0 5455488  18004 455428    0    0     0     0   16  149  0  0 100  0  0
 0  0      0 5455488  18004 455428    0    0     0     0   21  170  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0   17  149  0  0 99  0  0
 0  0      0 5553228  18004 455408    0    0     0     0   16  146  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0   18  168  0  0 100  0  0
 0  0      0 5553228  18004 455408    0    0     0     0   16  151  0  0 100  0  0
