# By running the following command I capture 2 snapshots of the process in every 10 sec
#  $ for i in {1..20}; do sleep 4.92 && top -b -p 1350 -n1 | tail -1 ;  done >> ex3.txt

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 1350 ahuratus  20   0   21872  20680   1068 S   0.0   0.3   0:00.00 ex2
 1350 ahuratus  20   0   21872  20680   1068 S   0.0   0.3   0:00.00 ex2
 1350 ahuratus  20   0   31640  30440   1068 S   0.0   0.5   0:00.01 ex2
 1350 ahuratus  20   0   31640  30440   1068 S   0.0   0.5   0:00.01 ex2
 1350 ahuratus  20   0   41408  40200   1068 S   0.0   0.6   0:00.01 ex2
 1350 ahuratus  20   0   41408  40200   1068 S   0.0   0.6   0:00.01 ex2
 1350 ahuratus  20   0   51176  49960   1068 S   0.0   0.8   0:00.01 ex2
 1350 ahuratus  20   0   51176  49960   1068 S   0.0   0.8   0:00.01 ex2
 1350 ahuratus  20   0   60944  59524   1068 S   0.0   0.9   0:00.01 ex2
 1350 ahuratus  20   0   60944  59524   1068 S   0.0   0.9   0:00.01 ex2
 1350 ahuratus  20   0   70712  69284   1068 S   0.0   1.1   0:00.01 ex2
 1350 ahuratus  20   0   70712  69284   1068 S   0.0   1.1   0:00.01 ex2
 1350 ahuratus  20   0   80480  79044   1068 S   0.0   1.2   0:00.01 ex2
 1350 ahuratus  20   0   80480  79044   1068 S   0.0   1.2   0:00.01 ex2
 1350 ahuratus  20   0   90248  88804   1068 S   0.0   1.4   0:00.03 ex2
 1350 ahuratus  20   0   90248  88804   1068 S   0.0   1.4   0:00.03 ex2
 1350 ahuratus  20   0  100016  98632   1068 S   0.0   1.5   0:00.03 ex2
